20120101,  207
20120102,   -1
20120103,  144
20120104,   36
20120105,   84
20120106,    8
20120107,   30
20120108,   -1
20120109,    8
20120110,    0
20120111,   10
20120112,    9
20120113,    4
20120114,   -1
20120115,    0
20120116,    0
20120117,    0
20120118,   32
20120119,  144
20120120,   -1
20120121,   35
20120122,   19
20120123,   16
20120124,    5
20120125,    5
20120126,   33
20120127,   -1
20120128,   -1
20120129,    0
20120130,    1
20120131,   -1
20120201,    0
20120202,    0
20120203,   27
20120204,    0
20120205,    0
20120206,    0
20120207,    0
20120208,    0
20120209,   -1
20120210,    0
20120211,    0
20120212,    5
20120213,   18
20120214,   19
20120215,   29
20120216,    6
20120217,    4
20120218,   80
20120219,   25
20120220,   -1
20120221,    0
20120222,   26
20120223,   -1
20120224,    1
20120225,    0
20120226,    0
20120227,    0
20120228,    3
20120229,   -1
20120301,    0
20120302,    0
20120303,   -1
20120304,   43
20120305,   45
20120306,    0
20120307,  123
20120308,    0
20120309,    0
20120310,    1
20120311,    0
20120312,    0
20120313,    0
20120314,    0
20120315,    0
20120316,    0
20120317,   -1
20120318,    7
20120319,    0
20120320,    0
20120321,    0
20120322,    0
20120323,    0
20120324,    0
20120325,    0
20120326,    0
20120327,    0
20120328,    0
20120329,    0
20120330,   -1
20120331,   -1
20120401,    0
20120402,    0
20120403,   -1
20120404,   40
20120405,    0
20120406,   10
20120407,    3
20120408,   30
20120409,   65
20120410,   23
20120411,   13
20120412,   -1
20120413,   -1
20120414,    0
20120415,   -1
20120416,    6
20120417,   35
20120418,    8
20120419,   32
20120420,   15
20120421,   12
20120422,    1
20120423,   38
20120424,   30
20120425,   25
20120426,   66
20120427,    4
20120428,  119
20120429,    1
20120430,   -1
20120501,  102
20120502,  113
20120503,   -1
20120504,   -1
20120505,   -1
20120506,    0
20120507,    1
20120508,   66
20120509,  124
20120510,   54
20120511,   -1
20120512,    2
20120513,    0
20120514,   15
20120515,  106
20120516,   21
20120517,    0
20120518,    3
20120519,    0
20120520,   51
20120521,    0
20120522,    0
20120523,    0
20120524,    0
20120525,    0
20120526,    0
20120527,    0
20120528,    0
20120529,   35
20120530,    0
20120531,   72
20120601,    5
20120602,   -1
20120603,  101
20120604,  157
20120605,    1
20120606,   69
20120607,   17
20120608,    7
20120609,   21
20120610,   -1
20120611,  186
20120612,   16
20120613,    0
20120614,    0
20120615,   96
20120616,   32
20120617,   -1
20120618,  130
20120619,    0
20120620,    0
20120621,  112
20120622,   71
20120623,    0
20120624,  132
20120625,    0
20120626,    0
20120627,    0
20120628,   -1
20120629,   -1
20120630,   37
20120701,    4
20120702,    0
20120703,    0
20120704,    1
20120705,   40
20120706,  107
20120707,    6
20120708,   69
20120709,   -1
20120710,    3
20120711,  126
20120712,   67
20120713,   43
20120714,   81
20120715,  104
20120716,  212
20120717,    1
20120718,   48
20120719,   72
20120720,   -1
20120721,    1
20120722,    0
20120723,    0
20120724,    0
20120725,    0
20120726,    0
20120727,   83
20120728,    1
20120729,   36
20120730,   97
20120731,   14
20120801,   37
20120802,   51
20120803,   36
20120804,    6
20120805,  130
20120806,    8
20120807,  118
20120808,    1
20120809,    0
20120810,    0
20120811,    0
20120812,    0
20120813,   20
20120814,    3
20120815,    2
20120816,    0
20120817,    0
20120818,    0
20120819,    6
20120820,    0
20120821,   -1
20120822,    0
20120823,    0
20120824,   19
20120825,   47
20120826,  182
20120827,   -1
20120828,   24
20120829,   16
20120830,   89
20120831,  139
20120901,    0
20120902,    0
20120903,   -1
20120904,    0
20120905,    0
20120906,    0
20120907,    0
20120908,    0
20120909,    0
20120910,    1
20120911,    4
20120912,   30
20120913,    0
20120914,    8
20120915,   -1
20120916,    0
20120917,    8
20120918,   50
20120919,   17
20120920,   14
20120921,    5
20120922,   27
20120923,   70
20120924,  148
20120925,   78
20120926,   -1
20120927,   44
20120928,    6
20120929,   10
20120930,    0
20121001,   19
20121002,   12
20121003,   49
20121004,  107
20121005,  130
20121006,  141
20121007,    0
20121008,   -1
20121009,    0
20121010,    0
20121011,    7
20121012,  115
20121013,  166
20121014,  143
20121015,   14
20121016,   29
20121017,   18
20121018,  100
20121019,   35
20121020,    4
20121021,    8
20121022,    0
20121023,    0
20121024,    1
20121025,    3
20121026,   -1
20121027,   -1
20121028,    1
20121029,  119
20121030,  105
20121031,   -1
20121101,   45
20121102,   16
20121103,   15
20121104,  103
20121105,   46
20121106,  105
20121107,    4
20121108,    2
20121109,    1
20121110,   42
20121111,   36
20121112,    4
20121113,    5
20121114,    0
20121115,    0
20121116,    0
20121117,    9
20121118,   36
20121119,    0
20121120,    0
20121121,    9
20121122,    0
20121123,   50
20121124,   48
20121125,   17
20121126,    6
20121127,    1
20121128,    9
20121129,    6
20121130,   18
20121201,  109
20121202,   93
20121203,   52
20121204,   96
20121205,   29
20121206,    7
20121207,  107
20121208,    1
20121209,  102
20121210,   16
20121211,    2
20121212,   -1
20121213,   -1
20121214,  103
20121215,    8
20121216,   24
20121217,   31
20121218,   16
20121219,    0
20121220,   68
20121221,    9
20121222,  224
20121223,   76
20121224,   32
20121225,  125
20121226,   45
20121227,   27
20121228,   18
20121229,    2
20121230,   23
20121231,   50
